FAO_code,Latin species name,English,Spanish,French
UPA,Eunephrops manningi,Banded lobster,Cigala listada,Langoustine rayée
UPC,Eunephrops cadenasi,Sculptured lobster,Cigala esculpida,Langoustine sculptée
UPD,Pleuroscopus pseudodorsalis,,,
UPE,Etropus peruvianus,Peruvian flounder,,
UPG,Upeneus arge,Band-tail goatfish,,
UPH,Upeneus pori,Por's goatfish,,
UPI,Upeneus vittatus,Yellowstriped goatfish,,
UPJ,Upogebia pusilla,Mediterranean mud shrimp,,
UPK,Pleuroploca princeps,Prince horse conch,Tulipan principe,Fasciolaire prince
UPL,Upeneichthys lineatus,Blue-striped mullet,,
UPM,Upeneus moluccensis,Goldband goatfish,,
UPN,Pseudopercis numida,Namorado sandperch,,
