Country,Year,FAO_Area,FAO_Species_Code,FAO_Species_Name,Species scientific name,Landings
BEL,1905,VIIg-k,SOL,Common sole,Solea solea,5
BEL,1905,VIIg-k,SPR,European sprat,Sprattus sprattus,
BEL,1905,VIIg-k,TUR,Turbot,Psetta maxima,5
BEL,1905,VIIg-k,WHG,Whiting,Merlangius merlangus,5
BEL,1906,IV,BLL,Brill,Scophthalmus rhombus,47
BEL,1906,IV,COD,Atlantic cod,Gadus morhua,299
BEL,1906,IV,COE,European conger,Conger conger,4
BEL,1906,IV,DAB,Common dab,Limanda limanda,11
BEL,1906,IV,DGZ,Dogfishes nei,Squalus spp, 
BEL,1906,IV,FIN,Finfishes nei,Osteichthyes,166
BEL,1906,IV,FLE,European flounder,Platichthys flesus,3
BEL,1906,IV,GUX,"Gurnards, searobins nei",Triglidae,183
BEL,1906,IV,HAD,Haddock,Melanogrammus aeglefinus,1507
BEL,1906,IV,HAL,Atlantic halibut,Hippoglossus hippoglossus,1
BEL,1906,IV,HER,Atlantic herring,Clupea harengus,900
BEL,1906,IV,HKE,European hake,Merluccius merluccius,3
BEL,1906,IV,HOM,Atlantic horse mackerel,Trachurus trachurus,14
BEL,1906,IV,JOD,John dory,Zeus faber,0
BEL,1906,IV,LEM,Lemon sole,Microstomus kitt,8
BEL,1906,IV,LIN,Ling,Molva molva,10
BEL,1906,IV,MAC,Atlantic mackerel,Scomber scombrus,10
BEL,1906,IV,MUR,Surmullet,Mullus surmuletus,1
BEL,1906,IV,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,2
BEL,1906,IV,PLE,European plaice,Pleuronectes platessa,1001
BEL,1906,IV,POK,Saithe(=Pollock),Pollachius virens,10
BEL,1906,IV,POL,Pollack,Pollachius pollachius,0
BEL,1906,IV,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,406
BEL,1906,IV,SOL,Common sole,Solea solea,289
BEL,1906,IV,SPR,European sprat,Sprattus sprattus,1520
BEL,1906,IV,TUR,Turbot,Psetta maxima,74
BEL,1906,IV,WHG,Whiting,Merlangius merlangus,349
BEL,1906,Va,BLL,Brill,Scophthalmus rhombus,
BEL,1906,Va,COD,Atlantic cod,Gadus morhua,484
BEL,1906,Va,COE,European conger,Conger conger,
BEL,1906,Va,DAB,Common dab,Limanda limanda,23
BEL,1906,Va,DGZ,Dogfishes nei,Squalus spp,
BEL,1906,Va,FIN,Finfishes nei,Osteichthyes,
BEL,1906,Va,FLE,European flounder,Platichthys flesus,P
BEL,1906,Va,GUX,"Gurnards, searobins nei",Triglidae,
BEL,1906,Va,HAD,Haddock,Melanogrammus aeglefinus,365
BEL,1906,Va,HAL,Atlantic halibut,Hippoglossus hippoglossus,4
BEL,1906,Va,HER,Atlantic herring,Clupea harengus,
BEL,1906,Va,HKE,European hake,Merluccius merluccius,
BEL,1906,Va,HOM,Atlantic horse mackerel,Trachurus trachurus,7
BEL,1906,Va,JOD,John dory,Zeus faber,
BEL,1906,Va,LEM,Lemon sole,Microstomus kitt,7
BEL,1906,Va,LIN,Ling,Molva molva,51
BEL,1906,Va,MAC,Atlantic mackerel,Scomber scombrus,P
BEL,1906,Va,MUR,Surmullet,Mullus surmuletus,
BEL,1906,Va,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,6
BEL,1906,Va,PLE,European plaice,Pleuronectes platessa,36
BEL,1906,Va,POK,Saithe(=Pollock),Pollachius virens,123
BEL,1906,Va,POL,Pollack,Pollachius pollachius,
